95,Lock Lore,ME,RE,,ME/RE,academic,NULL,1/3,2/7,3/7,1/2,1/4,2/6,2/6,1/3,1/5,1/2,2/4,2/5,1/3,2/6,1/4,4,1/4,1/2,3/7,1/4,2/6,2/4,2/6,2/4,2/5,2/5,2/5,2/6,2/7,3/7,3/7,3/7,1/4,3/6,2/5,2/6,3/6,2/5,2/6,2/5,3/7,2/4,3/7,NULL,NULL,NULL,NULL,NULL
110,Mapping,RE,ME,,RE/ME,academic,NULL,2,2/6,7,5,4,7,5,6,1/4,5,2/4,5,3,6,2,3,3,5,3,2/6,2/6,3,4,3,2/4,5,4,4,2/6,5,4,5,2,4,2/4,2/5,1/4,3,4,4,4,6,2/6,NULL,NULL,NULL,NULL,NULL
111,Mechanition,RE,AG,,RE/AG,academic,NULL,1/2,3/7,3/7,1/4,3/9,3/6,2,2/5,2/4,1/4,2/5,2,2/4,2/5,1/4,4,2/5,1/4,3/5,3/7,2/6,2/6,2/6,2/6,1/4,2/6,2/6,2/6,3/8,3/7,3/8,3/9,2/5,2/6,2/6,2/4,3/8,2/6,2/6,3/9,3/8,3/6,3/6,NULL,NULL,NULL,NULL,NULL
119,Metal Evaluation,IN,RE,,IN/RE,general,NULL,1/2,2,3/6,1/2,1/4,3/6,2/5,2/5,1/4,1/3,1/2,3,2/4,3/6,1/2,4,3,1/3,2/5,2/5,2/6,2/5,2,2/5,2/5,2/5,2/5,2,2,2,2,2,2/5,2,2/5,2,1/4,3/6,2,2,2,3/6,2/5,NULL,NULL,NULL,NULL,NULL
120,Metal Lore,ME,RE,,ME/RE,academic,NULL,1/2,2/6,3/6,2/4,2/5,2/6,3,2/5,1/4,2/4,2/4,2,2/4,2/6,1/3,3,2/6,2/4,2/4,2/5,2/5,1/4,2/4,1/4,2/4,2/4,2/4,2/6,2/6,3/7,3/7,3/7,1/3,3/6,3/6,1/4,1/4,2/5,2/4,2/6,2/6,2/6,2/5,NULL,NULL,NULL,NULL,NULL
121,Midwifery,EM,ME,IN,EM/ME/IN,medical,NULL,4,3,4,4,4,4,4,4,2/4,4,4,4,4,4,4,2/6,4,4,2/5,2/6,4,4,6,4,4,4,4,3/6,2/6,1/3,1/3,1/3,4,4,4,4,4,4,7,4,3/8,4,4,NULL,NULL,NULL,NULL,NULL
122,Military Organization,PR,RE,,PR/RE,academic,NULL,3/6,3,2/4,1/4,3/6,1/3,1/4,1/4,1/4,1/4,3/6,1/5,2/5,2/5,2/5,3/6,2/5,2/5,1/4,2/5,1/5,3/6,3/6,3/6,3/6,3/6,3/6,3/6,3,4,2/6,4,1/3,3/6,3/6,3/6,2/4,3/6,3/6,2/4,4,1/4,2/5,NULL,NULL,NULL,NULL,NULL
123,Mimicry,IN,SD,,IN/SD,linguistic,NULL,2/6,1/5,2/5,2/5,2/5,2/5,2/5,1/5,3/5,2/5,1/4,2/5,1/5,2/5,2/6,2/6,2/6,2/5,2/5,2/6,2/6,2/6,2/7,2/6,2/6,2/4,1/3,2/7,1/5,2/7,2/7,2/6,3/6,2/6,1/5,2/7,3/7,1/4,2/4,1/4,2/7,1/5,2/6,NULL,NULL,NULL,NULL,NULL
124,Mimery,AG,SD,,AG/SD,subterfuge,NULL,3/6,2/7,2/6,2/5,2/5,2/6,2/5,1/3,2/5,2/5,1/4,2/5,1/5,2/6,3/6,2/7,2/6,2/5,3/6,2/6,2/6,3/6,2/7,3/6,3/6,3/6,1/3,2/7,2/7,2/7,2/7,2/6,3/6,2/6,2/6,2/7,3/6,1/2,2/7,2/5,2/7,1/3,2/6,NULL,NULL,NULL,NULL,NULL
125,Mining,RE,IN,,RE/IN,academic,NULL,3,2/7,2/6,1/4,4,2/6,6,2/4,2/4,1/4,2/6,2/5,2/6,2/6,3/6,5,2/6,3/6,3/6,2/6,3/6,3,3,3,3,3,3,2/7,2/7,2/7,2/7,3,2/4,3,1/2,3,1/4,3,2/5,4,2/7,2/4,2/6,NULL,NULL,NULL,NULL,NULL
127,Mnemonics,ME,SD,,ME/SD,concentration,NULL,1/4,2/4,3/8,2/5,2/5,3/7,1/4,2/7,1/4,2/6,1/4,2/4,1/3,3/7,1/4,2/6,2/4,2/6,2/6,2/5,2/5,1/4,2/4,1/4,1/4,1/4,1/4,2/4,2/4,2/4,1/4,1/4,1/2,1/3,1/2,2/4,1/4,1/4,1/4,1/4,2/5,2/7,2/5,NULL,NULL,NULL,NULL,NULL
128,Music,AG,EM,,AG/EM,linguistic,NULL,2/6,2/6,2/6,2/6,2/4,2/6,6,2/6,2/5,2/6,2/6,2/6,1/2,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/5,2/5,2/6,2/5,2/6,1/4,2/6,2/5,2/4,2/5,2/5,2/6,2/4,2/4,2/6,2/6,NULL,NULL,NULL,NULL,NULL
129,Navigation,RE,IN,,RE/IN,academic,NULL,2/6,1/5,2/6,2/6,2/6,2/6,6,2/5,2/5,2/6,1/4,2/6,2/6,2/5,2/6,2/4,2/6,2/6,2/5,1/4,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/4,1/4,2/4,1/4,2/6,1/4,2/6,1/2,1/3,3/7,2/6,2/6,2/5,2/5,2/5,1/4,NULL,NULL,NULL,NULL,NULL
130,Painting,IN,AG,,IN/AG,general,NULL,2/5,1/4,2/6,2/6,2/6,2/6,1/3,2/6,1/4,2/6,2/6,1/3,1/4,2/6,2/5,4,1/3,2/6,1/4,1/4,2/5,2/4,2/4,2/4,1/4,2/5,2/4,2/5,2/4,2/4,2/4,2/4,2/5,2/5,2/4,2/7,2/4,2/4,2/4,2/4,2/4,2/6,1/4,NULL,NULL,NULL,NULL,NULL
131,Phil./Relig. Doctrine,ME,RE,,ME/RE,academic,NULL,1/2,1/2,7,2,3,2,1/3,2,1/3,2,2,1/4,1/3,2,1/3,1/2,1/3,2,1/2,1/3,1/4,1/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2,1/3,1/2,1/2,1/2,1/2,2,1/3,NULL,NULL,NULL,NULL,NULL
132,Physics,RE,ME,,RE/ME,academic,NULL,2/5,5,7,3/7,5,4/8,7,4/7,1/4,3/8,2/4,4/7,3/6,7,3/6,5,3/6,3/8,3/7,3/7,3/7,3/7,3/6,3/7,2/6,3/7,3/5,3/6,5,3/6,4/7,3/5,1/3,3/6,3/6,2/3,3/7,3/6,3/7,3/7,4/7,4/7,3/7,NULL,NULL,NULL,NULL,NULL
135,Planetology,RE,EM,,RE/EM,academic,NULL,4,2/7,5,6,6,6,6,6,1/4,6,6,6,5,5,4,6,5,5,5,5,3/7,4,4,4,4,4,4,4,2/7,4,4,4,1/4,4,4,3,4,4,4,5,4,6,5,NULL,NULL,NULL,NULL,NULL
136,Play Instruments: Category 1,AG,ME,,AG/ME,general,NULL,2/6,2/6,2/6,2/6,1/4,2/6,2/4,2/6,2/4,2/6,1/4,2/6,1/2,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/5,2/6,2/6,2/4,2/6,3/6,2/6,2/5,2/4,2/5,2/5,2/6,2/6,2/5,2/6,2/6,NULL,NULL,NULL,NULL,NULL
137,Poetic Improvisation,IN,RE,,IN/RE,linguistic,NULL,2/6,2/6,2/6,2/5,1/4,2/6,2/6,2/5,1/3,2/5,1/4,2/6,1/2,2/6,2/6,1/4,2/6,2/5,2/6,2/6,2/6,2/6,2/6,2/6,2/6,1/5,2/5,2/5,2/5,2/6,1/5,2/5,1/2,2/5,2/4,2/4,2/5,2/5,2/6,1/5,1/4,2/5,2/6,NULL,NULL,NULL,NULL,NULL
138,Poison Lore,ME,RE,,ME/RE,academic,NULL,1/3,1/3,2/4,1/4,1/4,1/4,3/6,1/4,1/4,1/3,1/4,2/5,1/4,1/4,1/4,1/4,2/4,1/3,2/4,1/3,2/5,2/6,1/3,2/6,2/6,2/6,2/6,2/5,1/3,1/2,1/2,1/2,1/3,2/6,2/5,2/6,1/4,1/4,1/3,1/3,1/2,1/2,1/3,NULL,NULL,NULL,NULL,NULL
140,Pole Vaulting,ST,AG,,ST/AG,athletic,NULL,5,4,2/5,1/3,1/4,2/5,1/4,1/4,5,1/3,2/5,1/4,3/6,2/5,5,2/5,2/5,1/36,3/6,2/6,3/7,5,5,5,5,5,5,4,4,4,4,5,6,5,5,5,4,5,5,6,4,1/4,2/5,NULL,NULL,NULL,NULL,NULL
143,Propaganda,IN,EM,,IN/EM,linguistic,NULL,3/5,2/6,4,2/4,2/6,3/6,6,2/4,2/3,2/4,1/2,3/5,1/5,3/6,3/6,3/6,3/6,3/5,3/6,3/6,3/5,3/6,3/6,3/5,3/6,3/6,2/4,2/6,2/6,2/6,1/4,3/6,1/4,3/5,3/5,3/6,2/5,3/6,3/6,1/5,1/4,2/4,3/6,NULL,NULL,NULL,NULL,NULL
144,Public Speaking,EM,PR,,EM/PR,linguistic,NULL,2/6,2/6,2/6,2/6,2/4,2/6,6,2/6,2/5,2/6,2/6,2/6,1/2,2/6,2/6,2/6,2/6,2/6,1/4,2/6,2/6,2/6,1/3,2/6,2/6,2/6,2/5,2/5,2/4,2/6,1/4,2/5,1/4,2/5,2/4,2/5,2/4,2/4,2/5,1/4,3/7,2/6,2/6,NULL,NULL,NULL,NULL,NULL
145,Racial History,ME,RE,,ME/RE,academic,NULL,1/4,1/4,7,3,4,3,2/6,3,1/3,3,3,2/6,1/2,3,1/5,2/5,2/4,3,3,2/4,2/6,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/2,1/4,1/4,1/4,2/5,1/4,1/4,1/4,1/4,3,2/4,NULL,NULL,NULL,NULL,NULL
146,Rappling,AG,,,AG,athletic,NULL,7,4,3/7,2/5,2/5,3/7,2/6,3/7,7,2/5,3/7,3/7,3/9,3/7,7,3/7,3/7,2/5,3/7,3/9,3/8,6,7,6,7,6,7,5,4,6,6,6,8,5,4,7,3/7,7,7,4,8,1/3,3/7,NULL,NULL,NULL,NULL,NULL
147,Read Tracks,IN,RE,,IN/RE,perception,NULL,3/7,1/4,1/4,3/6,3/6,2/5,2/6,1/4,1/4,1/4,2/5,2/5,2/4,1/2,3,3/6,2/5,1/4,2/4,1/3,2/6,3,3/7,3/6,2/6,2/6,3/6,2/5,1/4,2/7,2/4,3/9,1/3,3/8,1/4,2/4,3/7,2/4,3/8,2/6,3/5,1/4,1/3,NULL,NULL,NULL,NULL,NULL
148,Region Lore,RE,ME,,RE/ME,outdoor,NULL,2/5,1/5,2/6,2/6,2/6,2/6,2/6,2/5,1/4,2/6,2/5,2/6,2/6,1/3,2/5,2/6,2/6,2/6,2/6,1/3,2/6,2/6,2/6,2/6,2/6,2/6,2/7,2/5,1/5,2/5,2/5,2/5,1/2,2/6,1/4,2/6,2/4,2/6,2/6,2/5,2/5,2/5,1/3,NULL,NULL,NULL,NULL,NULL
151,Rope Mastery,ME,AG,,ME/AG,general,NULL,3,2/6,2/6,1/3,2/4,2/6,2/5,1/5,3,1/3,1/4,2/5,2/5,2/6,3,2/6,2/4,1/3,2/6,2/6,3/5,3,3,3,3,3,3,2/5,2/5,2/6,2/6,3,3,3,3,3,3,3,2/6,3,2/7,1/5,1/3,NULL,NULL,NULL,NULL,NULL
152,Rowing,ST,SD,,ST/SD,athletic,NULL,3,2/5,1/4,1/4,3/7,1/4,6,1/3,3,1/4,1/4,1/4,2/5,1/3,3,3/9,1/5,1/4,2/4,2/4,2/5,3,3,3,3,3,3,2/5,2/7,2/6,2/4,3,5,3,3,3,4,3,3,3,3,2/5,1/4,NULL,NULL,NULL,NULL,NULL
154,Sailing,AG,IN,,AG/IN,athletic,NULL,3,2/5,2/6,2/6,3/7,2/6,6,2/6,3,2/6,2/6,2/6,2/6,2/6,3,3/7,2/4,2/6,2/5,2/5,3/7,3,3,3,3,3,3,2/4,2/7,2/5,2/4,3,3,3,3,3,3/7,3,3,3,3,2/6,2/6,NULL,NULL,NULL,NULL,NULL
155,Sanity Healing Lore,ME,EM,,ME/EM,academic,NULL,2,1/4,10,7,7,8,3,6,2/5,7,7,3,3/6,8,2,2,2/5,7,1/5,2/5,47,4,2,2,2,2,2/5,2/5,1/4,1/2,1/3,1/2,1/3,1/3,1/4,2/5,3/5,1/3,2/5,1/3,1/5,6,2/5,NULL,NULL,NULL,NULL,NULL
156,Sculpting,IN,AG,,IN/AG,general,NULL,1/4,2/5,2/6,2/7,3/6,2/7,2/4,2/7,2/7,2/7,2/7,2/5,2/6,2/6,2/4,4,2/5,2/7,2/7,2/5,2/7,2/5,2/7,2/4,2/5,2/7,2/4,2/7,2/7,2/7,2/7,2/6,3/8,2/7,2/6,3/7,2/4,2/7,2/5,2/6,2/7,2/7,2/5,NULL,NULL,NULL,NULL,NULL
157,Scrounge,IN,RE,,IN/RE,outdoor,NULL,2/5,1/5,2/6,1/4,1/3,2/6,3/7,1/3,2/5,1/4,1/4,2/5,2/6,2/6,2/6,2/6,2/6,1/4,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/7,2/5,1/5,2/5,2/5,2/5,2/5,2/6,1/4,2/6,2/6,2/6,2/6,2/5,2/5,1/3,1/5,NULL,NULL,NULL,NULL,NULL
159,Seduction,EM,PR,,EM/PR,social,NULL,2/5,2/6,2/5,2/6,1/2,2/6,3/6,2/5,2/6,2/6,2/5,2/6,1/4,2/6,2/5,2/5,2/6,2/6,2/6,2/6,2/5,2/5,2/5,2/5,2/5,2/5,2/5,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/4,2/6,2/6,1/3,2/6,1/3,1/4,2/5,2/6,NULL,NULL,NULL,NULL,NULL
160,Siege Engineer,RE,IN,,RE/IN,academic,NULL,2/4,2/5,3/6,2/6,2/6,1/2,3/6,1/4,1/4,2/6,2/5,2/6,2/4,1/3,1/5,2/6,2/4,1/3,1/3,1/4,1/4,2/4,2/4,2/4,2/4,1/4,1/4,2/5,2/5,2/5,1/6,2/5,1/3,2/4,2/5,2/5,2/4,2/4,1/4,1/3,2/6,1/4,1/4,NULL,NULL,NULL,NULL,NULL
163,Set Traps,RE,AG,,RE/AG,subterfuge,NULL,4,8,2/5,1/3,2/6,3/8,3/7,2/5,3/6,1/3,2/5,3/9,4,2/4,2/4,6,4,1/3,7,4,4,7,7,7,2/5,2/5,8,7,8,8,7,8,7,7,7,7,6,7,7,6,7,2/5,1/2,NULL,NULL,NULL,NULL,NULL
164,Signaling,ME,SD,,ME/SD,linguistic,NULL,1/5,2/5,1/4,1/3,2/4,1/4,6,1/4,1/5,1/3,1/4,1/4,1/5,1/4,1/5,2/5,2/6,1/3,1/5,1/5,1/4,1/5,2/6,1/5,1/4,1/4,2/4,2/5,2/4,2/6,2/6,2/6,2/5,2/6,2/6,1/4,2/6,1/3,2/6,2/5,2/5,1/4,1/5,NULL,NULL,NULL,NULL,NULL
165,Singing,PR,IN,,PR/IN,linguistic,NULL,2/6,2/6,2/6,2/6,1/4,2/6,6,2/6,2/5,2/6,2/6,2/6,1/2,2/6,2/6,2/5,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/5,2/6,2/6,2/6,2/6,1/5,2/6,2/5,2/4,2/4,2/5,2/6,2/4,2/4,2/6,2/6,NULL,NULL,NULL,NULL,NULL
167,Skating,AG,SD,,AG/SD,athletic,NULL,3,2/7,2/5,2/6,1/2,2/7,6,2/6,3,2/6,2/5,2/5,2/7,2/6,3,1/3,2/6,2/6,2/6,2/6,2/6,3,3/7,3,3,3,3,2/6,2/7,2/7,2/5,3/5,3,3/5,3/5,3/7,2/6,3/7,3/7,3/7,3,2/6,2/7,NULL,NULL,NULL,NULL,NULL
168,Skiing,AG,SD,,AG/SD,athletic,NULL,3,2/7,2/5,2/6,1/4,2/7,6,2/6,3,2/6,2/5,2/5,2/7,2/6,3,1/4,2/6,2/6,2/7,2/6,2/6,3,3/7,3,3,3,3,2/6,2/7,2/7,2/5,3/5,5,3/5,3/5,3/7,2/6,3/7,3/7,3/7,3/7,2/6,2/7,NULL,NULL,NULL,NULL,NULL
169,Skinning,AG,IN,,AG/IN,general,NULL,3,1/3,1/4,3/6,3/7,2/6,3/6,1/5,4,1/3,1/3,2/5,2/5,1/4,3,4,2/6,3,2/6,1/3,3/7,3,1/2,3,3,3,3,2/5,1/4,2/6,1/5,2/5,5,2/5,2/4,2/5,6,3/4,1/4,4,2/5,1/5,1/3,NULL,NULL,NULL,NULL,NULL
170,Smithing,ST,AG,,ST/AG,general,NULL,1/2,3,3/5,2/6,3/7,3/5,6,2/7,4,2/6,3/6,3/5,3/5,3/5,1/2,4,2/6,2/6,3/5,2/7,3/7,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,2/4,3,3,4,3,2/7,2/7,NULL,NULL,NULL,NULL,NULL
174,Sprinting,QU,,,QU,athletic,NULL,3,3,2/4,1/3,1/4,2/4,1/5,2/5,3,1/3,2/5,1/5,2/6,2/5,3,1/3,2/6,1/3,2/5,2/6,2/7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2/5,2/4,NULL,NULL,NULL,NULL,NULL
176,Star-Gazing,ME,IN,,ME/IN,academic,NULL,2/6,1/3,2/6,2/6,3/9,2/6,6,2/6,1/4,2/6,1/4,2/5,2/5,2/6,2/4,2/5,2/5,2/6,2/5,2/4,2/6,2/6,1/3,2/6,2/6,1/4,2/6,1/3,1/2,1/4,1/2,2/6,1/3,2/6,1/3,1/2,2/6,1/4,2/5,1/4,1/2,2/6,2/4,NULL,NULL,NULL,NULL,NULL
177,Stilt Walking,ST,AG,,ST/AG,athletic,NULL,4,3,2/6,1/3,1/3,2/5,2/6,1/4,3,1/3,2/5,1/3,3/6,2/5,4,2/5,2/5,1/3,3/6,3/6,3/8,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,3,1/4,2/5,NULL,NULL,NULL,NULL,NULL
178,Stone Crafts,SD,AG,,SD/AG,general,NULL,1/2,3,2/7,3/7,4,2/7,6,3/7,4,3/7,3/8,3/5,2/7,2/6,2/4,4,2/7,3/5,3/5,2/6,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,2/4,3,3,3,3,3/7,2/6,NULL,NULL,NULL,NULL,NULL
179,Stone Evaluation,IN,RE,,IN/RE,general,NULL,1/2,2/5,3/6,1/2,1/4,3/6,2/5,2/5,1/4,1/3,1/2,3,2/4,3/6,1/2,4,3,1/3,2/5,2/5,2/6,2/4,2/5,2/4,2/4,2/4,2/4,2/5,2/3,2,2/4,2,2/5,2/5,2/5,1/5,1/4,3/6,3,2,2/4,2/5,2/5,NULL,NULL,NULL,NULL,NULL
180,Stone Lore,ME,RE,,ME/RE,academic,NULL,1/2,2/5,3/7,2/4,2/5,2/6,3,2/5,1/4,2/4,2/4,2,2/4,2/5,1/3,2/5,2/6,2/4,2/4,2/5,2/4,1/4,2/4,1/4,2/4,2/4,2/4,2/6,2/5,3/7,2/5,3/7,1/3,3/6,3/6,1/4,1/4,2/5,2/4,2/6,2/6,2/5,2/5,NULL,NULL,NULL,NULL,NULL
181,Streetwise,PR,IN,,PR/IN,outdoor,NULL,2/7,3/7,3/8,1/2,1/4,2/6,2/5,1/3,1/4,1/2,1/4,2/4,1/4,3/6,2/4,1/4,3/7,1/3,4,3/8,2/5,3/6,1/4,3,3,2/7,3/6,2/6,3/7,2/7,2/4,4,2/4,2/5,1/4,2/3,3/7,1/3,2/5,2/3,1/4,1/3,1/4,NULL,NULL,NULL,NULL,NULL
183,Subduing,AG,QU,,AG/QU,arms,NULL,6,3/6,2/5,1/4,2/5,2/5,2/5,15,6,1/4,3,1/2,5,2/5,6,3/6,3,1/4,3/6,4,3/7,6,6,6,6,6,4,3/6,2/5,3/6,3/6,1/3,7,6,5,6,9,3/5,6,3,3/6,15,1/4,NULL,NULL,NULL,NULL,NULL
184,Surfing,AG,SD,,AG/SD,athletic,NULL,3,2/7,2/5,2/6,1/3,2/7,6,2/6,3,2/6,2/5,2/5,2/7,2/6,3,1/4,2/6,2/6,2/6,2/6,2/6,3,3/7,3,3,3,3,2/6,2/7,2/7,2/5,3/5,3,3/5,3/5,3/7,5,3/7,3/7,3/7,3,2/6,2/7,NULL,NULL,NULL,NULL,NULL
186,Surveillance,IN,SD,,IN/SD,perception,NULL,2/6,2/5,3/6,1/4,2/3,2/5,3/6,1/4,2/3,1/2,1/4,2/5,2/5,3/6,2/5,2/6,2/6,1/2,2/6,2/6,2/5,2/6,2/6,2/6,2/6,2/6,2/5,2/6,3/6,3/6,1/5,2/7,2/4,2/6,1/5,3/7,2/4,1/3,2/5,2/3,2/6,1/4,1/3,NULL,NULL,NULL,NULL,NULL
187,Swimming,AG,,,AG,athletic,NULL,3,3,1/3,2/6,2/5,2/6,2/5,2/5,3,1/3,2/5,1/5,2/6,2/5,2/6,1/5,2/6,3,3,2/6,2/6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2/5,2/6,NULL,NULL,NULL,NULL,NULL
188,Symbol Lore,ME,RE,,ME/RE,magical,NULL,1/4,2/4,7,4,4,5,5,4,3/6,3,4,3,2/4,7,1/4,3/6,2/5,6,3/6,3/6,2/7,1/4,2/5,1/4,1/3,1/4,1/4,1/4,2/4,2/4,1/3,2/4,1/4,1/4,1/4,2/5,2/4,1/4,2/5,1/4,1/4,4,5,NULL,NULL,NULL,NULL,NULL
189,Tactical Games,RE,ME,,RE/ME,general,NULL,1/4,2/4,2/4,2/4,2/4,2/4,2/4,2/4,1/4,2/4,2/4,2/4,2/4,2/5,1/4,2/4,1/4,1/4,1/4,2/4,2/4,1/2,1/4,1/4,1/5,1/5,1/4,2/4,2/4,2/4,2/4,2/4,1/3,2/4,2/4,2/4,2/4,1/4,2/6,1/4,2/4,2/4,2/4,NULL,NULL,NULL,NULL,NULL
190,Tactics,IN,RE,,IN/RE,academic,NULL,2/4,2/5,1/2,1/3,2/7,1/2,1/4,1/3,1/4,1/3,2/5,1/4,2/4,1/3,1/5,2/6,2/4,1/3,1/3,1/4,1/4,2/4,2/4,2/4,2/4,1/4,1/4,2/5,2/5,2/5,1/6,2/5,1/4,2/4,2/5,2/5,2/4,2/4,1/4,2/4,2/6,2/5,1/4,NULL,NULL,NULL,NULL,NULL
191,Tale Telling,PR,ME,,PR/ME,linguistic,NULL,2/6,2/6,2/6,2/5,1/4,2/6,2/6,2/5,2/5,2/5,1/4,2/6,1/3,2/6,2/6,2/5,2/6,2/5,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/6,2/5,2/5,2/5,2/6,2/5,2/5,1/4,2/5,2/4,2/4,2/6,2/5,2/6,2/5,2/4,2/5,2/6,NULL,NULL,NULL,NULL,NULL
193,Tightrope Walking,AG,SD,,AG/SD,athletic,NULL,3,2,3/7,1/3,1/3,3/6,1/4,1/4,3,1/3,2/5,1/3,2/6,3/6,3,1/5,1/5,1/3,2/6,2/6,3/6,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3/7,3,3,3,3,2/4,3/6,NULL,NULL,NULL,NULL,NULL
194,Time Sense,IN,ME,,IN/ME,perception,NULL,1/3,1/4,3/6,1/4,1/4,2/5,1/4,2/4,1/4,1/4,2/4,1/4,1/3,3/5,1/4,2/4,1/4,1/4,2/4,1/3,2/5,3/6,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/2,1/4,1/3,1/3,1/3,1/3,1/3,1/4,1/3,1/3,1/3,1/2,2/4,1/3,,NULL,NULL,NULL,NULL
195,Tracking,IN,RE,,IN/RE,perception,NULL,3,1/4,1/4,1/3,2/5,1/4,6,1/4,2/4,1/3,2/4,1/3,2/6,1/2,3,2/6,2/6,3,2/6,2/5,2/5,3,3,3,3,3,3,2/6,1/4,3/5,2/5,3,2/6,3,1/5,2/4,2/7,2/4,3,2/5,3/6,1/4,1/2,NULL,NULL,NULL,NULL,NULL
196,Trading,RE,EM,,RE/EM,linguistic,NULL,3/5,2/6,3/6,2/4,3/5,3/6,6,2/4,2/4,2/4,1/2,3/5,2/4,3/6,3/5,3/6,3/6,2/4,3/6,3/5,3,3/5,3/6,3/5,3/6,3/6,2/4,2/5,2/6,2/6,1/4,3/5,2/5,3/5,3/6,3/6,2/5,3/6,2/6,3/6,1/4,2/4,3/5,NULL,NULL,NULL,NULL,NULL
197,Trading Lore,ME,RE,,ME/RE,academic,NULL,2/6,1/2,2/6,2/5,2/4,2/7,2/7,2/7,1/3,2/5,1/2,2/6,1/4,1/3,2/6,2/6,2/5,2/5,1/4,1/2,2/6,2/5,2/6,2/5,2/5,2/5,2/5,2/4,2/4,2/4,2/4,2/4,1/3,2/6,2/5,2/6,2/4,2/4,2/6,2/4,3/5,2/7,1/2,NULL,NULL,NULL,NULL,NULL
199,Trap-Building,RE,EM,,RE/EM,subterfuge,NULL,1/5,2/5,2/6,1/3,2/5,2/6,6,1/3,2/6,1/3,2/5,2/5,2/6,2/6,1/5,2/6,2/6,1/3,3/6,2/5,2/7,3/6,3/5,3/6,2/6,2/6,2/6,2/6,2/5,2/6,2/6,2/5,2/5,2/6,3/7,3/7,3/7,3/6,3/5,3/5,2/6,1/3,1/3,NULL,NULL,NULL,NULL,NULL
200,Trickery,PR,QU,,PR/QU,subterfuge,NULL,3,3,2/6,1/2,1/4,2/6,2/5,1/3,2/6,1/2,1/4,1/4,2/4,2/6,3,3,2/5,1/2,3,2/5,3/6,3,3,3,3,3,1/4,3,3,3,3,3,3,3,1/5,3,4,1/5,3,2/6,3,1/3,2/5,NULL,NULL,NULL,NULL,NULL
201,Tumbling,AG,SD,,AG/SD,athletic,NULL,3,2/5,1/5,1/3,1/2,1/5,2/5,1/3,4,1/3,1/4,1/2,2/5,1/5,3,1/4,1/4,1/3,2/4,2/4,2/6,3,3,3,3,3,3,2/6,2/5,2/5,2/5,2,4,2,2,3,3,3,3,3,3/7,1/3,1/5,NULL,NULL,NULL,NULL,NULL
206,Ventriloquism,SD,IN,,SD/IN,linguistic,NULL,3/6,2/5,3/5,3/5,2/6,3/5,3/5,2/5,3/5,3/5,2/4,3/5,2/5,3/5,3/6,3/7,3/6,3/5,3/6,3/6,3/6,3/6,3/7,3/6,3/6,3/6,2/3,3/7,2/5,3/7,3/7,3/6,2/5,3/6,2/5,3/7,3/7,2/4,3/7,2/5,1/5,2/5,3/6,NULL,NULL,NULL,NULL,NULL
207,Warding Lore,ME,RE,,ME/RE,magical,NULL,1/4,1/4,8,4,4,5,7,4,3/6,3,4,5,3/6,5,1/4,3/6,3/6,3,2/5,2/4,2/6,2/4,2/5,2/4,1/3,1/3,2/4,2/4,1/4,1/4,1/4,1/4,1/4,2/4,2/4,2/4,2/4,2/5,2/5,2/5,1/4,5,5,NULL,NULL,NULL,NULL,NULL
208,Weather-Watching,IN,EM,,IN/EM,academic,NULL,1/4,1/3,3/7,3/7,3/7,3/7,6,3/7,2/5,3/7,2/5,2/7,2/6,1/4,1/5,2/5,1/5,3/7,2/5,1/5,2/5,1/4,1/3,1/4,1/4,1/4,1/4,1/3,1/3,1/3,1/3,2/6,1/4,2/6,1/2,1/2,3/7,1/4,2/6,1/4,1/3,3/7,1/5,NULL,NULL,NULL,NULL,NULL
209,Weapon Evaluation,IN,RE,,IN/RE,general,NULL,1/3,2,1/3,1/3,2/5,1/2,2/5,1/3,2/6,1/4,1/3,1/3,2/5,1/2,1/3,3,3/6,1/4,1/3,1/4,2/4,4,3/6,4,4,3,4,2,2,5,3,5,3/7,3,2/6,4,3/7,3,3,3,3,1/3,1/4,NULL,NULL,NULL,NULL,NULL
